timestamp,function,iat_seconds,pred_prob,threshold,pre_warm_triggered,ground_truth_cold
0.0,huawei_custom-1000-1024-000,-1.0,0.98,0.5,True,True
0.561,huawei_custom-1000-1024-000,0.56,0.1935,0.5,False,True
0.842,huawei_custom-1000-1024-000,0.28,0.1885,0.5,False,True
1.333,huawei_custom-1000-1024-000,0.49,0.1505,0.5,False,True
2.562,huawei_custom-1000-1024-000,1.23,0.1653,0.5,False,True
2.742,huawei_custom-1000-1024-000,0.18,0.1252,0.5,False,True
2.766,huawei_custom-1000-1024-000,0.02,0.0653,0.5,False,True
3.086,huawei_custom-1000-1024-000,0.32,0.1136,0.5,False,True
3.22,huawei_custom-1000-1024-000,0.13,0.0976,0.5,False,True
3.33,huawei_custom-1000-1024-000,0.11,0.02,0.5,False,True
3.932,huawei_custom-1000-1024-000,0.6,0.0333,0.5,False,True
4.017,huawei_custom-1000-1024-000,0.08,0.1,0.5,False,True
4.363,huawei_custom-1000-1024-000,0.35,0.1577,0.5,False,True
5.121,huawei_custom-1000-1024-000,0.76,0.0753,0.5,False,True
5.16,huawei_custom-1000-1024-000,0.04,0.0464,0.5,False,True
5.472,huawei_custom-1000-1024-000,0.31,0.0792,0.5,False,True
5.725,huawei_custom-1000-1024-000,0.25,0.0421,0.5,False,True
5.862,huawei_custom-1000-1024-000,0.14,0.058,0.5,False,True
6.243,huawei_custom-1000-1024-000,0.38,0.0717,0.5,False,True
6.341,huawei_custom-1000-1024-000,0.1,0.02,0.5,False,True
6.498,huawei_custom-1000-1024-000,0.16,0.1113,0.5,False,True
6.982,huawei_custom-1000-1024-000,0.48,0.02,0.5,False,True
7.181,huawei_custom-1000-1024-000,0.2,0.02,0.5,False,True
7.38,huawei_custom-1000-1024-000,0.2,0.0728,0.5,False,True
7.916,huawei_custom-1000-1024-000,0.54,0.1014,0.5,False,True
9.141,huawei_custom-1000-1024-000,1.23,0.0913,0.5,False,True
9.558,huawei_custom-1000-1024-000,0.42,0.0762,0.5,False,True
9.768,huawei_custom-1000-1024-000,0.21,0.0663,0.5,False,True
9.775,huawei_custom-1000-1024-000,0.01,0.0602,0.5,False,True
9.782,huawei_custom-1000-1024-000,0.01,0.1369,0.5,False,True
10.648,huawei_custom-1000-1024-000,0.87,0.1035,0.5,False,True
10.905,huawei_custom-1000-1024-000,0.26,0.0678,0.5,False,True
12.501,huawei_custom-1000-1024-000,1.6,0.068,0.5,False,True
12.547,huawei_custom-1000-1024-000,0.05,0.1326,0.5,False,True
12.607,huawei_custom-1000-1024-000,0.06,0.1553,0.5,False,True
12.772,huawei_custom-1000-1024-000,0.17,0.1446,0.5,False,True
13.071,huawei_custom-1000-1024-000,0.3,0.0562,0.5,False,True
14.073,huawei_custom-1000-1024-000,1.0,0.0866,0.5,False,True
14.127,huawei_custom-1000-1024-000,0.05,0.0771,0.5,False,True
14.229,huawei_custom-1000-1024-000,0.1,0.091,0.5,False,True
14.831,huawei_custom-1000-1024-000,0.6,0.1397,0.5,False,True
15.32,huawei_custom-1000-1024-000,0.49,0.1665,0.5,False,True
15.387,huawei_custom-1000-1024-000,0.07,0.0983,0.5,False,True
15.49,huawei_custom-1000-1024-000,0.1,0.0476,0.5,False,True
16.356,huawei_custom-1000-1024-000,0.87,0.0819,0.5,False,True
16.492,huawei_custom-1000-1024-000,0.14,0.1616,0.5,False,True
16.492,huawei_custom-1000-1024-000,0.0,0.0895,0.5,False,True
17.471,huawei_custom-1000-1024-000,0.98,0.0704,0.5,False,True
17.853,huawei_custom-1000-1024-000,0.38,0.0726,0.5,False,True
18.044,huawei_custom-1000-1024-000,0.19,0.1007,0.5,False,True
18.986,huawei_custom-1000-1024-000,0.94,0.0466,0.5,False,True
20.022,huawei_custom-1000-1024-000,1.04,0.0665,0.5,False,True
21.422,huawei_custom-1000-1024-000,1.4,0.1436,0.5,False,True
22.543,huawei_custom-1000-1024-000,1.12,0.1131,0.5,False,True
22.832,huawei_custom-1000-1024-000,0.29,0.1022,0.5,False,True
23.529,huawei_custom-1000-1024-000,0.7,0.1429,0.5,False,True
24.218,huawei_custom-1000-1024-000,0.69,0.0527,0.5,False,True
24.311,huawei_custom-1000-1024-000,0.09,0.0753,0.5,False,True
24.316,huawei_custom-1000-1024-000,0.0,0.1105,0.5,False,True
24.864,huawei_custom-1000-1024-000,0.55,0.1068,0.5,False,True
25.013,huawei_custom-1000-1024-000,0.15,0.0244,0.5,False,True
26.706,huawei_custom-1000-1024-000,1.69,0.0848,0.5,False,True
26.894,huawei_custom-1000-1024-000,0.19,0.0925,0.5,False,True
27.245,huawei_custom-1000-1024-000,0.35,0.1172,0.5,False,True
27.398,huawei_custom-1000-1024-000,0.15,0.1105,0.5,False,True
28.327,huawei_custom-1000-1024-000,0.93,0.096,0.5,False,True
28.804,huawei_custom-1000-1024-000,0.48,0.02,0.5,False,True
29.941,huawei_custom-1000-1024-000,1.14,0.1003,0.5,False,True
30.129,huawei_custom-1000-1024-000,0.19,0.1022,0.5,False,True
30.933,huawei_custom-1000-1024-000,0.8,0.2232,0.5,False,True
31.817,huawei_custom-1000-1024-000,0.88,0.0886,0.5,False,True
32.16,huawei_custom-1000-1024-000,0.34,0.0995,0.5,False,True
32.465,huawei_custom-1000-1024-000,0.31,0.1405,0.5,False,True
32.726,huawei_custom-1000-1024-000,0.26,0.1216,0.5,False,True
32.915,huawei_custom-1000-1024-000,0.19,0.1537,0.5,False,True
32.997,huawei_custom-1000-1024-000,0.08,0.02,0.5,False,True
33.646,huawei_custom-1000-1024-000,0.65,0.0349,0.5,False,True
34.044,huawei_custom-1000-1024-000,0.4,0.048,0.5,False,True
34.214,huawei_custom-1000-1024-000,0.17,0.02,0.5,False,True
34.949,huawei_custom-1000-1024-000,0.73,0.0792,0.5,False,True
34.955,huawei_custom-1000-1024-000,0.01,0.0261,0.5,False,True
36.8,huawei_custom-1000-1024-000,1.85,0.1798,0.5,False,True
36.956,huawei_custom-1000-1024-000,0.16,0.0626,0.5,False,True
37.12,huawei_custom-1000-1024-000,0.16,0.0861,0.5,False,True
37.313,huawei_custom-1000-1024-000,0.19,0.1429,0.5,False,True
37.419,huawei_custom-1000-1024-000,0.11,0.0405,0.5,False,True
37.83,huawei_custom-1000-1024-000,0.41,0.0214,0.5,False,True
37.924,huawei_custom-1000-1024-000,0.09,0.1117,0.5,False,True
37.96,huawei_custom-1000-1024-000,0.04,0.1161,0.5,False,True
38.139,huawei_custom-1000-1024-000,0.18,0.1411,0.5,False,True
38.877,huawei_custom-1000-1024-000,0.74,0.1288,0.5,False,True
39.342,huawei_custom-1000-1024-000,0.46,0.0858,0.5,False,True
39.391,huawei_custom-1000-1024-000,0.05,0.0374,0.5,False,True
39.664,huawei_custom-1000-1024-000,0.27,0.083,0.5,False,True
39.89,huawei_custom-1000-1024-000,0.23,0.0859,0.5,False,True
40.244,huawei_custom-1000-1024-000,0.35,0.0352,0.5,False,True
41.103,huawei_custom-1000-1024-000,0.86,0.1707,0.5,False,True
